ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
1556,YOLK,"The yellow, spherical part of an egg that is surrounded by the white albumen, and serves as nutriment for the growing young.",,Food and drink,Person/Thing,
1557,BEGINNING,The beginning of an activity or event.,,Time,Person/Thing,
1558,SIMILAR,"Having some particular qualities or characteristics in common, but not all of them.",,Sense perception,Property,
1559,MONEY,An unspecified amount in a currency.,,Possession,Person/Thing,
1560,FACE,"The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.",,The body,Person/Thing,
1561,ARMY,"A large, military force concerned mainly with ground operations.",,Warfare and hunting,Person/Thing,
1562,MIND,The ability for rational thought.,,Cognition,Person/Thing,
1563,PYTHON,(Pythonidae)The common name for a group of non-venomous constricting snakes.,,Animals,Person/Thing,
1564,LAZY,Unwilling to do work or make an effort.,,The body,Property,
1565,HEAVEN,"Outer space visible from the Earth's surface, infinitely extending above us and limited by the horizon.",,Religion and belief,Person/Thing,
1566,GUN,A bullet firing weapon to be held in the hands or arms.,,Warfare and hunting,Person/Thing,
1567,DOOR,"An opening, or passage in a fence or wall; the entrance through which you enter or leave a room or building.",,The house,Person/Thing,
1568,ARRANGE,To give structure to.,,Basic actions and technology,Action/Process,
1569,CHEESE,A curdled or cultured milk product.,,Food and drink,Person/Thing,
1570,EQUAL,Having a specified quality that another has.,,Miscellaneous function words,Property,
1571,SELL,To provide goods or services in exchange for money.,,Possession,Action/Process,
1572,SURPRISED,Feeling that something unexpected has happened.,,Emotions and values,Property,
1573,SWELL,To grow larger in volume.,,Basic actions and technology,Action/Process,
1574,FLOAT,"Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface. [WK:float]",,Motion,Action/Process,
1575,COCKROACH,The most primitive of the living winged insects.,,Animals,Person/Thing,
1576,PILE UP,To gather together in a heap or unsorted stack.,,Spatial relations,Action/Process,
1577,AND,Used to connect two homogeneous words or phrases.,,Cognition,Other,
1578,IGUANA,(Iguanidae) A lizard family.,,Animals,Person/Thing,
1579,BE,To have existence.,,Miscellaneous function words,Action/Process,
1580,ONLY,Nothing more than.,,Quantity,Other,
1581,ALLIGATOR,A reptile belonging to the subfamily Alligatorinae in the family Alligatoridae in the order Crocodylia.,,Animals,Person/Thing,
1582,TIN (CAN),"A tin-plate canister, often cylindrical, for preserved foods such as fruit, meat, or fish.",,Modern world,Person/Thing,
1583,BRAIN,The organ of the central nervous system of an animal or human located in the skull that controls the actions and thoughts of the animal or human.,,The body,Person/Thing,
1584,BLISTER,"A small bubble on the skin, that contains watery fluid and is caused by heat, pressure or infection.",,The body,Person/Thing,
1585,SLEEP,To rest in a state of decreased consciousness and reduced metabolism.,,The body,Action/Process,
1586,SMELL (PERCEIVE),To perceive the presence of molecules in the air by inhaling them through the nose.,,Sense perception,Action/Process,
1587,SMELL (STINK),To give off a smell that can be perceived by the nose.,,Sense perception,Action/Process,
1588,TURN,To change the direction of movement or the direction in which something is facing.,,Motion,Action/Process,
1589,HUMMINGBIRD,A small bird in the family Trochilidae.,,Animals,Person/Thing,
1590,WAIT (FOR),To refrain from acting or moving for some duration or until some event occurs.,,Motion,Action/Process,
1591,UP,Moving to a higher position.,,Spatial relations,Other,
1592,CHEST,The portion of the body from the base of the neck to the top of the abdomen; the thorax.,,The body,Person/Thing,
1593,DEEP,Having a bottom or base that is far away from the top.,,Spatial relations,Property,
1594,FLOUR,Ground or milled grain or cereal.,,Food and drink,Person/Thing,
1595,SOUTH,"One of the four major compass points, specifically 180°, directed toward the South Pole, and conventionally downwards on a map.",,Spatial relations,Person/Thing,
1596,LOCK,"Something used for fastening, which can only be opened with a key or combination.",,The house,Person/Thing,
1597,AIRPLANE,A powered heavier-than-air aircraft with fixed wings that obtains lift by the Bernoulli effect and is used for transportation.,,Modern world,Person/Thing,
1598,NORTH,"One of the four major compass points, specifically 0°, directed toward the North Pole, and conventionally upwards on a map.",,Spatial relations,Person/Thing,
1599,WORD,"A distinct unit of language (sounds in speech or written letters) with a particular meaning, composed of one or more morphemes, and also of one or more phonemes that determine its sound pattern.",,Speech and language,Person/Thing,
1600,SKIRT,"An article of clothing, usually worn by women and girls, that hangs from the waist and covers the lower part of the body.",,Clothing and grooming,Person/Thing,
1601,WEAK,Lacking in force or ability.,,The body,Property,
1602,WAKE UP,To stop sleeping.,,The body,Action/Process,
1603,MOSQUE,A place of worship for followers of the Islamic faith.,,Religion and belief,Person/Thing,
1604,TEMPLES,The region of the skull on either side of the forehead.,,The body,Person/Thing,
1605,SKULL,The main bone of the head; the cranium.,,The body,Person/Thing,
1606,INSIDE,Contained or encased by something or inside a building as opposed to outside in the open air.,,Spatial relations,Other,
1607,HATE,To dislike intensely; to feel strong hostility towards.,,Emotions and values,Action/Process,
1608,LISTEN,To perceive with the ear (paying attention to what is heard).,,Sense perception,Action/Process,
1609,IDEA,A plan or notion that is formed and exists in the mind as a result of mental activity.,,Cognition,Person/Thing,
1610,PROSTITUTE,A woman who sells sexual services for money.,,Social and political relations,Person/Thing,
1611,INVITE,To request or ask for the presence or participation of someone.,,Social and political relations,Action/Process,
1612,LETTER,A text that is written to and for a specific person or set of people (and is most commonly sent to them by post).,,Modern world,Person/Thing,
1613,COLOR,"An attribute of things that results from the light they reflect, transmit, or emit in so far as this light causes a visual sensation that depends on its wavelengths.",,Sense perception,Person/Thing,
1614,SUMMIT,The highest point of a mountain.,,The physical world,Person/Thing,
1615,ESCAPE,"To get free, to free oneself.",,Basic actions and technology,Action/Process,
1616,CLOTH,"A woven fabric such as used in dressing, decorating, cleaning or other practical use.",,Clothing and grooming,Person/Thing,
1617,GRANDCHILD,A child of someone’s child.,,Kinship,Person/Thing,
1618,GRANDSON,A son of someone's child.,,Kinship,Person/Thing,
1619,GRANDDAUGHTER,A daughter of someone's child.,,Kinship,Person/Thing,
1620,SON,One's male child.,,Kinship,Person/Thing,
1621,SNEEZE,"To expel air rapidly as a reflex, usually induced by an irritation in the nose.",,The body,Action/Process,
1622,SHIRT,"An article of clothing that is worn on the upper part of the body, and often has sleeves, either long or short, that cover the arms.",,Clothing and grooming,Person/Thing,
1623,SPEAK,To communicate by the use of words.,,Speech and language,Action/Process,
1624,EMPTY,Without content.,,Quantity,Property,
1625,DEAD,Not alive; lacking life.,,The body,Property,
1626,EXPLAIN,"To inform about the reason for something, how something works, or how to do something.",,Cognition,Action/Process,
1627,CHAIN,A series of interlocked rings or links forming a flexible length.,,Basic actions and technology,Person/Thing,
1628,SQUIRREL,A small or medium-sized rodent of the family Sciuridae.,,Animals,Person/Thing,
1629,EVENING,That part of the day in which daylight decreases and the night falls.,,Time,Person/Thing,
1630,MACAW,"Large colorful parrots of the Americas, classified into six of the many Psittacidae genera: Ara, Anodorhynchus, Cyanopsitta, Primolius, Orthopsittaca, and Diopsittaca.",,Animals,Person/Thing,
1631,FAST,Occurring or happening within a short time.,,Time,Property,
1632,FLOOR,The bottom or lower part of any room; the supporting surface of a room.,,The house,Person/Thing,
1633,FLAT,Having no variations in altitude.,,Spatial relations,Property,
1634,HUNDRED,The natural number one hundred (100).,,Quantity,Number,
1635,OBEY,To do as you are told.,,Social and political relations,Action/Process,
1636,MOTIONLESS,Not moving.,,Motion,Property,
1637,AUTHORITY,The power to enforce rules or give orders.,,Social and political relations,Person/Thing,
1638,TRUTH,That which conforms to reality.,,Emotions and values,Person/Thing,
1639,BEER,"An alcoholic beverage commonly fermented from barley malt, with hops or some other substance to impart a bitter flavor.",,Food and drink,Person/Thing,
1640,SIBLING,A person who has the same parents as another person.,,Kinship,Person/Thing,
1641,SILK,"One of the finest textiles, obtained from cocoons of certain species of caterpillars; it is soft, very strong and absorbent and has a brilliant sheen.",,Clothing and grooming,Person/Thing,
1642,NIECE,A daughter of someone’s brother or sister.,,Kinship,Person/Thing,
1643,COUSIN,The child of the sibling of a parent of a person.,,Kinship,Person/Thing,
1644,RELATIVES,"A person that is considered to be of the same family due to shared ancestors, marriage or adoption.",,Kinship,Person/Thing,
1645,SHORT,Small in length by comparison.,,Spatial relations,Property,
1646,GIRL,"A young female person, usually a child or teenager.",,Kinship,Person/Thing,
1647,FOAL,"A juvenile horse, especially one which is not yet weaned.",,Animals,Person/Thing,
1648,ANVIL,A heavy iron block used by a blacksmith as a surface upon which metal can be struck and shaped.,,Basic actions and technology,Person/Thing,
1649,SIT DOWN,To move into a position where the upper body is upright and the bottom is resting  on a surface or the floor.,,Motion,Action/Process,
1650,WATCH,"To have one's eyes, one's attention on something or someone.",,Basic actions and technology,Action/Process,
1651,TEAR (OF EYE),A drop of liquid produced from the eyes by crying or irritation.,,Emotions and values,Person/Thing,
1652,INSTEAD,As a replacement for.,,Spatial relations,Other,
1653,BLIND,Unable to see.,,The body,Property,
1654,LIGHTNING,The flash of light caused by the discharge of atmospheric electrical charge.,,The physical world,Person/Thing,
1655,BLINK,"To make a quick wink of one or both eyelids, often repeatedly.",,The body,Action/Process,
1656,NEVER,At no time.,,Time,Other,
1657,TRUE,Concurring with a given set of facts.,,Emotions and values,Property,
1658,PUPIL,Contractile aperture in iris.,,The body,Person/Thing,
1659,DOLL,"A model of a human, a humanoid, an animal or a fictional character, usually made of cloth or plastic.",,Modern world,Person/Thing,
1660,LOSE,"To be beaten or to fail to win in a fight, game, or similar, or to place something in a place where one cannot find it again or in a wrong place; to lose something.",,Possession,Action/Process,
1661,STRAIT,A narrow body of water connecting two larger bodies of water.,,The physical world,Person/Thing,
1662,CAPE,A piece of land extending into water.,,The physical world,Person/Thing,
1663,BED,"A piece of furniture, made for a person to sleep on.",,The house,Person/Thing,
1664,RAFT,"A collection of logs, planks, casks, etc., fastened together for floating on water.",,Motion,Person/Thing,
1665,BEAT,"To strike or pound repeatedly, usually in some sort of rhythm.",,Basic actions and technology,Action/Process,
1666,MUTE,Not making a sound.,,The body,Property,
1667,HOLE,"A, often round, piece of nothingness in some solid.",,Spatial relations,Person/Thing,
1668,GRIEF,"Mental suffering or pain caused by injury, loss, or despair.",,Emotions and values,Person/Thing,
1669,ANCESTORS,"Person from whom a person is descended, whether on the father's or mother's side, at any number of generations.",,Kinship,Person/Thing,
1670,RAPIDS,"Fast flowing section of a stream, often shallow and with exposed rock or boulders.",,The physical world,Person/Thing,
1671,TOWER,"Structure, usually taller than it is wide, often used as a lookout.",,Warfare and hunting,Person/Thing,
1672,WRITE,"To form (letters, words or symbols) on a surface in order to communicate.",,Speech and language,Action/Process,
1673,ARM,"The upper limb, extending from the shoulder to the wrist and sometimes including the hand.",,The body,Person/Thing,
1674,POOR,With little or no possessions or money.,,Possession,Property,
1675,PROMISE,To commit to doing something or assure that something will happen.,,Speech and language,Action/Process,
1676,ALWAYS,At all times.,,Time,Other,
1677,WORKSHOP,"A room or building in which work, especially mechanical work, is carried on.",,Modern world,Person/Thing,
1678,HUT,"A simple roofed shelter, often with one  open side.",,The house,Person/Thing,
1679,LOAD,"The weight (materials, products, etc.) to be borne or conveyed.",,Basic actions and technology,Person/Thing,
1680,HELMET,"Any of various forms of protective head covering worn e.g.  by soldiers, firefighters, divers, cyclists, etc.",,Warfare and hunting,Person/Thing,
1681,WAIST,"In human beings, the part between the thorax and hips.",,The body,Person/Thing,
1682,GUILTY,"Having committed an offense, crime, violation, or wrong, especially against moral or penal law.",,Law,Property,
1683,BUSH,"A plant resembling a small tree, but has no, and will never develop, a stem.",,Agriculture and vegetation,Person/Thing,
1684,BUD,A bud is an undeveloped or embryonic shoot and normally occurs in the axil of a leaf or at the tip of the stem.,,Agriculture and vegetation,Person/Thing,
1685,AFTER,"Subsequent, following, in time or space.",,Spatial relations,Other,
1686,BEHIND,At the back of.,,Spatial relations,Other,
1687,PRAISE,The act of expressing approval or admiration; commendation; laudation.,,Emotions and values,Person/Thing,
1688,FATE,"The power or agency that, according to certain belief systems, predetermines and orders unalterably the course of events.",,Religion and belief,Person/Thing,
1689,SMOKE (INHALE),To inhale smoke from for example a cigarette or a cigar.,,Agriculture and vegetation,Action/Process,
1690,FENCE,Delimitation for an area.,,Agriculture and vegetation,Person/Thing,
1691,FLEXIBLE,"Capable of being flexed or bent without breaking; able to be turned, bowed, or twisted, without breaking; pliable; not stiff or brittle.",,The physical world,Property,
1692,FRIDAY,The fifth day of the week in Europe and in systems using the ISO 8601 norm; the sixth day of the week in the United States of America.,,Time,Person/Thing,
1693,THURSDAY,The fourth day of the week in Europe and in systems using the ISO 8601 norm; the fifth day of the week in the United States of America.,,Time,Person/Thing,
1694,WEDNESDAY,The third day of the week in Europe and in systems using the ISO 8601 norm; the fourth day of the week in the United States of America.,,Time,Person/Thing,
1695,TUESDAY,The second day of the week in Europe and in systems using the ISO 8601 norm; the third day of the week in the United States of America.,,Time,Person/Thing,
1696,SURRENDER,To give up to the enemy.,,Warfare and hunting,Action/Process,
1697,MONDAY,The first day of the week in Europe and in systems using the ISO 8601 norm; the second day of the week in the United States of America.,,Time,Person/Thing,
1698,CURVED,Being bent as to form an arch.,,The physical world,Property,
1699,SUNDAY,"The seventh day of the week in Europe and in systems using the ISO 8601 standard, or the first day of the week in the United States of America, the Sabbath for most Christians.",,Time,Person/Thing,
1700,SATURDAY,The sixth day of the week in Europe and in systems using the ISO 8601 norm; the seventh day of the week in the United States of America.,,Time,Person/Thing,
1701,RIVER MOUTH,"A river mouth or stream mouth is a part of a river where it flows into the sea, river, lake, reservoir or ocean.",,The physical world,Person/Thing,
1702,HOLY,Specially recognized as or declared sacred by religious use or authority.,,Religion and belief,Property,
1703,SIX,The natural number six (6).,,Quantity,Number,
1704,SEVEN,The natural number seven (7).,,Quantity,Number,
1705,EIGHT,The natural number eight (8).,,Quantity,Number,
1706,ELEVEN,The natural number eleven (11).,,Quantity,Number,
1707,TWELVE,The natural number twelve (12).,,Quantity,Number,
1708,THIRTEEN,The natural number thirteen (13).,,Quantity,Number,
1709,FIFTEEN,The natural number fifteen (15).,,Quantity,Number,
1710,TWENTY,The natural number twenty (20).,,Quantity,Number,
1711,TELL,To talk about a story giving its details; to give a detailed account of.,,Speech and language,Action/Process,
1712,OATH,"Promise or solemn declaration in front of an authority, another person or to oneself.",,Law,Person/Thing,
1713,EIGHTEEN,The natural number eighteen (18).,,Quantity,Number,
1714,NINETEEN,The natural number nineteen (19).,,Quantity,Number,
1715,THIRTY,The natural number thirty (30).,,Quantity,Number,
1716,FORTY,The natural number forty (40).,,Quantity,Number,
1717,FIFTY,The natural number fifty (50).,,Quantity,Number,
1718,SIXTY,The natural number sixty (60).,,Quantity,Number,
1719,BURY,To put in the ground and cover with earth.,,Basic actions and technology,Action/Process,
1720,SIGN,Feature element which permits to refer to anything or any person.,,Speech and language,Person/Thing,
1721,SEVENTY,The natural number seventy (70).,,Quantity,Number,
1722,EIGHTY,The natural number eighty (80).,,Quantity,Number,
1723,RESULT IN,"Having a specific result, a logical consequence.",,Cognition,Action/Process,
1724,NINETY,The natural number ninety (90).,,Quantity,Number,
1725,CORRECT (RIGHT),To be in accordance with expectations.,,Emotions and values,Property,
1726,WET,Covered with or impregnated with liquid.,,Sense perception,Property,
1727,THRESHOLD,The bottom-most part of a doorway that one crosses to enter; a sill.,,The house,Person/Thing,
1728,ROTTEN,"Having changed its colour, smell or composition (partially or completely), due to being attacked and decomposed by microorganisms (relating to organic matter).",,Food and drink,Property,
1729,PLAIT OR BRAID OR WEAVE,"To add pleats to cloth, to braid together hair, threads, strings, twigs etc. in order to create a larger string-like object or to create a fabric by interlacing threads.",,Basic actions and technology,Action/Process,
1730,CHEEK,"The soft skin on each side of the face, between the eyes and the chin; the outer surface of the sides of the oral cavity.",,The body,Person/Thing,
1731,MORTAR BINDER,"Paste made of a mixture of a binder (cement, plaster or lime), sand and water used in masonry to make bricks, stones, etc. stick together.",,The house,Person/Thing,
1732,SKY,"The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.",,The physical world,Person/Thing,
1733,RAINBOW,A multicoloured arc in the sky caused by the refraction of light within droplets of rain in the air.,,The physical world,Person/Thing,
1734,TWENTY ONE,The natural number twenty-one (21).,,Quantity,Number,
1735,TEAR (SHRED),To pull at something in such a way that it ends up divided.,,Basic actions and technology,Action/Process,
1736,TWENTY FOUR,The natural number twenty-four (24).,,Quantity,Number,
1737,OKRA,"A flowering plant in the mallow (Malvaceae) family valued for its edible pods; okro, ochro; ladies' fingers.",,Agriculture and vegetation,Person/Thing,
1738,TWENTY FIVE,The natural number twenty-five (25).,,Quantity,Number,
1739,DECORATE,"To make more attractive by adding ornament, colour, etc.",,Clothing and grooming,Action/Process,
1740,PINE,Evergreen coniferous tree of the genus Pinus.,,Agriculture and vegetation,Person/Thing,
1741,ABOVE,Situated in a higher place than something else.,,Spatial relations,Other,
1742,TRAVERSE,To go or pass through something.,,Motion,Action/Process,
1743,JOIN,"To join or unite, as one thing to another, or as several particulars, so as to increase the number, augment the quantity, enlarge the magnitude, or so as to form into one aggregate; to sum up; to put together mentally, as, to add numbers; to add up a column.",,Spatial relations,Action/Process,
1744,SPLEEN,"A ductless vascular gland, located in the left upper abdomen near the stomach.",,The body,Person/Thing,
1745,HIP,The outward-projecting parts of the pelvis and top of the femur and the overlying tissue.,,The body,Person/Thing,
1746,BLADDER,A hollow muscular balloon-shaped organ that stores urine until it is excreted from the body.,,The body,Person/Thing,
1747,CUSTOM,A pattern of behavior inherited or acquired through frequent repetition.,,Social and political relations,Person/Thing,
1748,RIDGE,"Elevated zone of a mountain range, that frequently coincides with the watershed.",,The physical world,Person/Thing,
1749,TAKE,To grasp with the hands.,,Possession,Action/Process,
1750,CHOOSE,To make a choice from a number of alternatives.,,Emotions and values,Action/Process,
1751,BIRTHMARK,"A birthmark is a benign irregularity on the skin which is present at birth or appears shortly after birth, usually in the first month. Birthmarks are caused by overgrowth of blood vessels, melanocytes, smooth muscle, fat, fibroblasts, or keratinocytes.",,The body,Person/Thing,
1752,LEAVE,"To move away from a place, a situation or a talk.",,Motion,Action/Process,
1753,TOP,Highest and most elevated point.,,Spatial relations,Person/Thing,
1754,BRACELET,Piece of jewellery worn around the wrist.,,Clothing and grooming,Person/Thing,
1755,UNDRESS,"To take off all of one's clothes, or to take off a piece of clothing or similar.",,Clothing and grooming,Action/Process,
1756,WIDOW,A woman whose spouse has died.,,Kinship,Person/Thing,
1757,TIRED,"In need of some rest or sleep, due to lack of sleep or as a result of hard work or physical activity.",,The body,Property,
1758,OLDER SISTER,A female with more years of age than one or more of her siblings.,,Kinship,Person/Thing,
1759,OLDER BROTHER,A male with more years of age than one or more of his siblings.,,Kinship,Person/Thing,
1760,YOUNGER BROTHER,A male with fewer years of age than one or more of his siblings.,,Kinship,Person/Thing,
1761,YOUNGER SISTER,A female who is younger than one or more of her siblings.,,Kinship,Person/Thing,
1762,STONE (OF FRUIT),"The wooden shell found inside some fruits, particularly drupes, that surrounds the seed.",,Food and drink,Person/Thing,
1763,CLUB,A short heavy club with a rounded head used as a weapon.,,Warfare and hunting,Person/Thing,
1764,OBSCURE,"Known vaguely or incompletely, if at all.",,Cognition,Property,
1765,IN VAIN,"Without success, without the desired effect.",,Miscellaneous function words,Other,
1766,FINISH,"To end something, to bring something to a conclusion.",,Time,Action/Process,
1767,SCRAPE,To move an object against another object such that abrasion or minor cutting occurs.,,Basic actions and technology,Action/Process,
1768,FOAM,A mass of adjacent small pockets of air or bubbles with solid or liquid boundaries.,,The physical world,Person/Thing,
1769,AXLE,"The central part of a wheel, that usually does not turn.",,Motion,Person/Thing,
1770,CARCASS,"The body of a dead animal, on which other animals have begun to feed.",,The body,Person/Thing,
1771,TASTELESS,Having no flavour.,,Food and drink,Property,
1772,ELK,"The largest member of the deer family (Alces alces), of which the male has very large, palmate antlers.",,Animals,Person/Thing,
1773,GRAVE,A place (commonly marked with a headstone) where one or more people are buried (usually in a coffin underneath the ground).,,The body,Person/Thing,
1774,STINGY,Excessively unwilling to spend.,,Possession,Property,
1775,TABLE,"A piece of furniture that generally consists of a hard, flat, horizontal surface, which is elevated and stabilised by 3 or more legs (usually 4).",,The house,Person/Thing,
1776,SHAME,"The consciousness or awareness of dishonor, disgrace, or condemnation.",,Emotions and values,Person/Thing,
1777,RESEMBLE,To be like or similar to something else.,,Spatial relations,Action/Process,
1778,APPROACH,To come near to; to move towards.,,Motion,Action/Process,
1779,DARE,To have enough courage (to do something).,,Emotions and values,Action/Process,
1780,BILE,"A bitter brownish-yellow or greenish-yellow secretion produced by the liver, stored in the gallbladder, and discharged into the duodenum where it aids the process of digestion.",,The body,Person/Thing,
1781,THUMB,The shortest and thickest of the fingers that can be placed against the others in order to create a firm grip.,,The body,Person/Thing,
1782,GUEST,"A person that visits and stays at a house, usually for one or more nights.",,Social and political relations,Person/Thing,
1783,PAIN,"An unpleasant, usually localised physical sensation that is often the result of an injury, disease or other ailment.",,Emotions and values,Person/Thing,
1784,WANT,To want to do something or to wish for something to happen.,,Emotions and values,Action/Process,
1785,HAVE SEX,To take part in sexual activity (most commonly sexual intercourse) with another person for the purposes of sexual pleasure.,,The body,Action/Process,549
1786,DRY UP,"To lose moisture, usually through evaporation or absorption.",,Basic actions and technology,Action/Process,
1787,LOOM,A frame or machine (made of wood or other material) in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric.,,Clothing and grooming,Person/Thing,
1788,TELEVISION,A device for receiving television signals and displaying them in visual form.,,Modern world,Person/Thing,
1789,AGE,"The amount of time that a person, animal or plant has lived or that an object has existed.",,Time,Person/Thing,
1790,LICENSE PLATE,"Metal sheet for alphanumerical identification of vehicles, on their front and/or rear parts.",,Modern world,Person/Thing,
1791,BUTTERFLY,A lepidopteran that is active at day.,,Animals,Person/Thing,
1792,PERJURY,The deliberate giving of false or misleading testimony under oath.,,Law,Person/Thing,
1793,BAT,"A small, nocturnal, flying mammal of the order Chiroptera, which navigates by means of echolocation. It looks like a mouse with membranous wings extending from the forelimbs to the hind limbs or tail.",,Animals,Person/Thing,
1794,FURROW,The cut made in a field by a plough.,,Agriculture and vegetation,Person/Thing,
1795,BANANA TREE,"The tropical treelike plant which bears clusters of bananas. The plant, of the genus Musa, has large, elongated leaves.",,Agriculture and vegetation,Person/Thing,
1796,SLAUGHTER,To kill animals for food.,,Basic actions and technology,Action/Process,
1797,HEDGEHOG,Small mammal characterized by its spiny back and by its habit of rolling itself into a ball when attacked.,,Animals,Person/Thing,
1798,GUNPOWDER,An explosive in the form of a powder.,,Warfare and hunting,Person/Thing,
1799,HYENA,"A large carnivore of the family Hyaenidae, similar in appearance to a dog and native to Africa and Asia, best known for the sound resembling laughter that it makes when excited.",,Animals,Person/Thing,
1800,DANDELION,"A species of the genus Taraxacum, a large genus of flowering plants in the family Asteraceae.",,Agriculture and vegetation,Person/Thing,
1801,CHILD (DESCENDANT),Biological offspring.,,Kinship,Person/Thing,
1802,SCREW,A shaft with a helical groove or thread formed on its surface. Its main use is as a threaded fastener used to hold objects together.,,Modern world,Person/Thing,
1803,WOOD,"The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.",,The physical world,Person/Thing,
1804,BOMB,A device filled with explosives used for destroying things.,,Modern world,Person/Thing,
1805,INJECTION,A method of putting liquid into the body with a hollow needle and a syringe which is pierced through the skin long enough for the material to be forced into the body.,,Modern world,Person/Thing,
1806,BEGIN,To begin an activity.,,Time,Action/Process,
1807,AFTERNOON,"The part of the day which follows noon, between noon and evening.",,Time,Person/Thing,
1808,PUS,A whitish-yellow or yellow substance produced during inflammatory responses of the body that can be found in regions of pyogenic bacterial infections.,,The body,Person/Thing,
1809,PIMPLE,A result of a blockage of the skin's pore.,,The body,Person/Thing,
1810,DANGER,A situation that constitutes an immediate risk for injury on a person or property.,,Emotions and values,Person/Thing,
1811,SOUND OR NOISE,Any audible noise which is not necessarily unwanted or unpleasant to the hearer and of short or long duration.,,Sense perception,Person/Thing,
1812,TRY,To attempt to do something.,,Cognition,Action/Process,
1813,TASTY,Pleasing to the sense of taste.,,Food and drink,Property,
1814,ACCUSE,To lay a charge against; bring an accusation against.,,Law,Action/Process,
1815,ACHE,To be in continuous pain.,,The body,Action/Process,
1816,BESIDE,To be positioned at the side of a given object.,,Spatial relations,Other,
1817,WEST,"One of the four principal compass points, specifically 270°, conventionally directed to the left on maps. The direction of the setting sun.",,Spatial relations,Person/Thing,
1818,ADJUDICATE,To act as a judge.,,Law,Action/Process,
1819,LOOK,To actively use one's eyes.,,Sense perception,Action/Process,
1820,BEAR,"A large beast of prey of the family Ursidae, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet.",,Animals,Person/Thing,
1821,BRUSH,"An implement with a handle, and a head with multiple more or less flexible bristles, used for arranging hair.",,Clothing and grooming,Person/Thing,
1822,ADORNMENT,Something that beautifies or adorns.,,Clothing and grooming,Person/Thing,917
1823,BORROW,"To receive (something) from somebody temporarily, expecting to return it.",,Possession,Action/Process,
1824,DEXTEROUS,Nimble in the use of the hands or body.,,Basic actions and technology,Property,
1825,COPPER,"Chemical element with symbol Cu and atomic number 29; one of the most important nonferrous metals; a ductile and malleable metal found in various ores and used in industry, engineering, and the arts in both pure and alloyed form.",,Basic actions and technology,Person/Thing,
1826,ANGRY,"Irritated, in a temper, feeling or displaying anger.",,Emotions and values,Property,
1827,HARVEST CROPS,To gather the ripened crop.,,Agriculture and vegetation,Action/Process,
1828,ASK (REQUEST),"To ask for a service or physical goods, often without returning the favor in kind.",,Speech and language,Action/Process,
1829,JUMP,To propel oneself rapidly upward such that momentum causes the body to become airborne.,,Motion,Action/Process,
1830,CRANE,A large bird of the order Gruiformes and the family Gruidae having long legs and a long neck which it extends when flying.,,Animals,Person/Thing,
1831,MEET,"To encounter a person, either intentionally or by chance.",,Social and political relations,Action/Process,
1832,SIBLING-IN-LAW,The husband of one's sister.,,Kinship,Person/Thing,
1833,DINNER (SUPPER),A meal that is eaten in the late afternoon or evening daily.,,Food and drink,Person/Thing,
1834,SHE,A female other; the female previously mentioned. 3rd person singular feminine subject pronoun.,,Kinship,Other,
1835,MARROW,The spongy tissue in the hollow parts of bones.,,The body,Person/Thing,
1836,VAGINA,The lower part of the female reproductive tract; a moist canal in female mammals (including humans) extending from the labia minora to the uterus.,,The body,Person/Thing,
1837,VULVA,"The external parts of the female genitalia, in human beings this consists of the labia, clitoris, opening of the urethra (meatus), and the opening of the vagina.",,The body,Person/Thing,
1838,NAVEL,A scar where the umbilical cord was attached.,,The body,Person/Thing,
1839,CRY,To shed tears due to the impact of an emotion.,,Emotions and values,Action/Process,
1840,BUILD,To form by combining materials or parts.,,Basic actions and technology,Action/Process,
1841,SUSPECT,To assume something to be true without direct evidence.,,Cognition,Action/Process,
1842,OBSTINATE,Persisting in a reactionary stand.,,Cognition,Property,
1843,THOUSAND,The natural number one thousand (1000).,,Quantity,Number,
1844,BOAT,"A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.",,Motion,Person/Thing,
1845,BALL,Any spherical object.,,Spatial relations,Person/Thing,
1846,RULE,"To exercise power or authority over a person, a group of persons, animals, territories or an organization.",,Social and political relations,Action/Process,
1847,SICK,Whose health is altered.,,The body,Property,
1848,QUARREL,A loud or noisy verbal confrontation between two or more people.,,Social and political relations,Person/Thing,
1849,ROW,To pull oars through water in order to make a water vehicle (such as a boat) move.,,Motion,Action/Process,
1850,COTTON,"Fiber obtained from plants of the genus Gossypium, used in making fabrics, cordage, and padding and for producing artificial fibers and cellulose.",,Clothing and grooming,Person/Thing,
1851,POCKET,"A kind of pouch, which is accessible by an opening in an article of clothing and serves for storage; usually large enough in order to accommodate at least one hand.",,Clothing and grooming,Person/Thing,
1852,OFTEN,"Many times, with short intervals between occasions.",,Time,Other,
1853,DOVE,One of several birds of the family Columbidae.,,Animals,Person/Thing,
